timestamp,pid,type,workingSetMB
2026-09-05T11:03:57.2520435-07:00,38120,renderer,678.43
2026-09-05T11:03:57.2721921-07:00,34092,renderer,30.12
2026-09-05T11:03:58.3183810-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:58.3357106-07:00,9168,gpu-process,622.64
2026-09-05T11:03:58.3477472-07:00,8340,utility,53.24
2026-09-05T11:03:58.3613996-07:00,45576,utility,19.72
2026-09-05T11:03:58.3747609-07:00,30008,renderer,82.7
2026-09-05T11:03:58.3850365-07:00,38120,renderer,678.43
2026-09-05T11:03:58.3974997-07:00,34092,renderer,30.12
2026-09-05T11:03:59.3934326-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:59.4109367-07:00,9168,gpu-process,620.77
2026-09-05T11:03:59.4271536-07:00,8340,utility,53.24
2026-09-05T11:03:59.4816784-07:00,45576,utility,19.72
2026-09-05T11:03:59.4938249-07:00,30008,renderer,82.7
2026-09-05T11:03:59.5077865-07:00,38120,renderer,678.44
2026-09-05T11:03:59.5277944-07:00,34092,renderer,30.12
2026-09-05T11:04:00.5188062-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:00.5342650-07:00,9168,gpu-process,618.91
2026-09-05T11:04:00.5855771-07:00,8340,utility,53.24
2026-09-05T11:04:00.6439461-07:00,45576,utility,19.72
2026-09-05T11:04:00.6671508-07:00,30008,renderer,82.7
2026-09-05T11:04:00.7043827-07:00,38120,renderer,678.44
2026-09-05T11:04:00.7192852-07:00,34092,renderer,30.12
2026-09-05T11:04:01.6734862-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:01.6855347-07:00,9168,gpu-process,617.05
2026-09-05T11:04:01.6947951-07:00,8340,utility,53.24
2026-09-05T11:04:01.7070419-07:00,45576,utility,19.72
2026-09-05T11:04:01.7177886-07:00,30008,renderer,82.7
2026-09-05T11:04:01.7281340-07:00,38120,renderer,678.34
2026-09-05T11:04:01.7407862-07:00,34092,renderer,30.12
2026-09-05T11:04:02.7904620-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:02.8094684-07:00,9168,gpu-process,616.76
2026-09-05T11:04:02.8211234-07:00,8340,utility,53.23
2026-09-05T11:04:02.8291331-07:00,45576,utility,19.72
2026-09-05T11:04:02.8400133-07:00,30008,renderer,82.7
2026-09-05T11:04:02.8504457-07:00,38120,renderer,678.83
2026-09-05T11:04:02.8639030-07:00,34092,renderer,30.12
2026-09-05T11:04:03.7965321-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:03.8061571-07:00,9168,gpu-process,616.76
2026-09-05T11:04:03.8177549-07:00,8340,utility,53.23
2026-09-05T11:04:03.8284006-07:00,45576,utility,19.72
2026-09-05T11:04:03.8387545-07:00,30008,renderer,82.7
2026-09-05T11:04:03.8491019-07:00,38120,renderer,678.83
2026-09-05T11:04:03.8609146-07:00,34092,renderer,30.12
2026-09-05T11:04:04.7503072-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:04.7656158-07:00,9168,gpu-process,616.77
2026-09-05T11:04:04.8013046-07:00,8340,utility,53.35
2026-09-05T11:04:04.8510050-07:00,45576,utility,19.72
2026-09-05T11:04:04.8706724-07:00,30008,renderer,82.7
2026-09-05T11:04:04.8813260-07:00,38120,renderer,678.84
2026-09-05T11:04:04.8911790-07:00,34092,renderer,30.12
2026-09-05T11:04:05.7734720-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:05.7789717-07:00,9168,gpu-process,616.77
2026-09-05T11:04:05.7933192-07:00,8340,utility,53.28
2026-09-05T11:04:05.8024061-07:00,45576,utility,19.72
2026-09-05T11:04:05.8162596-07:00,30008,renderer,82.7
2026-09-05T11:04:05.8276952-07:00,38120,renderer,678.36
2026-09-05T11:04:05.8334347-07:00,34092,renderer,30.12
2026-09-05T11:04:06.8695548-07:00,39116,crashpad-handler,10.48
2026-09-05T11:04:06.8927418-07:00,9168,gpu-process,616.77
2026-09-05T11:04:06.9242480-07:00,8340,utility,53.28
2026-09-05T11:04:06.9525635-07:00,45576,utility,19.72
2026-09-05T11:04:06.9708878-07:00,30008,renderer,82.7
